Month,Fuel,Value,Date
2021M02,Bensiini 95,1.55,2021-02-01
2021M03,Bensiini 95,1.61,2021-03-01
2021M04,Bensiini 95,1.64,2021-04-01
2021M05,Bensiini 95,1.66,2021-05-01
2021M06,Bensiini 95,1.64,2021-06-01
2021M07,Bensiini 95,1.7,2021-07-01
2021M08,Bensiini 95,1.73,2021-08-01
2021M09,Bensiini 95,1.72,2021-09-01
2021M10,Bensiini 95,1.8,2021-10-01
2021M11,Bensiini 95,1.89,2021-11-01
2021M12,Bensiini 95,1.82,2021-12-01
2022M01,Bensiini 95,1.88,2022-01-01
2022M02,Bensiini 95,1.94,2022-02-01
2022M03,Bensiini 95,2.23,2022-03-01
2022M04,Bensiini 95,2.17,2022-04-01
2022M05,Bensiini 95,2.3,2022-05-01
2022M06,Bensiini 95,2.57,2022-06-01
2022M07,Bensiini 95,2.33,2022-07-01
2022M08,Bensiini 95,2.14,2022-08-01
2022M09,Bensiini 95,2.07,2022-09-01
2022M10,Bensiini 95,2.07,2022-10-01
2022M11,Bensiini 95,2.07,2022-11-01
2022M12,Bensiini 95,1.87,2022-12-01
2023M01,Bensiini 95,1.91,2023-01-01
2023M02,Bensiini 95,1.99,2023-02-01
2023M03,Bensiini 95,1.98,2023-03-01
2023M04,Bensiini 95,2.0,2023-04-01
2023M05,Bensiini 95,1.96,2023-05-01
2023M06,Bensiini 95,1.98,2023-06-01
2023M07,Bensiini 95,1.94,2023-07-01
2023M08,Bensiini 95,1.98,2023-08-01
2023M09,Bensiini 95,2.05,2023-09-01
2023M10,Bensiini 95,2.0,2023-10-01
2023M11,Bensiini 95,1.95,2023-11-01
2023M12,Bensiini 95,1.87,2023-12-01
2024M01,Bensiini 95,1.76,2024-01-01
2024M02,Bensiini 95,1.82,2024-02-01
2024M03,Bensiini 95,1.92,2024-03-01
2024M04,Bensiini 95,1.9,2024-04-01
2024M05,Bensiini 95,1.88,2024-05-01
2024M06,Bensiini 95,1.86,2024-06-01
2024M07,Bensiini 95,1.87,2024-07-01
2024M08,Bensiini 95,1.85,2024-08-01
2024M09,Bensiini 95,1.8,2024-09-01
2024M10,Bensiini 95,1.78,2024-10-01
2024M11,Bensiini 95,1.75,2024-11-01
2024M12,Bensiini 95,1.76,2024-12-01
2025M01,Bensiini 95,1.79,2025-01-01
2025M02,Bensiini 95,1.78,2025-02-01
2025M03,Bensiini 95,1.79,2025-03-01
2025M04,Bensiini 95,1.78,2025-04-01
2025M05,Bensiini 95,1.75,2025-05-01
2025M06,Bensiini 95,1.74,2025-06-01
2025M07,Bensiini 95,1.74,2025-07-01
2025M08,Bensiini 95,1.69,2025-08-01
2025M09,Bensiini 95,1.73,2025-09-01
2025M10,Bensiini 95,1.71,2025-10-01
2025M11,Bensiini 95,1.72,2025-11-01
2025M12,Bensiini 95,1.75,2025-12-01
2026M01,Bensiini 95,1.76,2026-01-01
2026M02,Bensiini 95,1.76,2026-02-01
2021M02,Bensiini 98,1.64,2021-02-01
2021M03,Bensiini 98,1.7,2021-03-01
2021M04,Bensiini 98,1.73,2021-04-01
2021M05,Bensiini 98,1.75,2021-05-01
2021M06,Bensiini 98,1.73,2021-06-01
2021M07,Bensiini 98,1.79,2021-07-01
2021M08,Bensiini 98,1.82,2021-08-01
2021M09,Bensiini 98,1.8,2021-09-01
2021M10,Bensiini 98,1.88,2021-10-01
2021M11,Bensiini 98,1.97,2021-11-01
2021M12,Bensiini 98,1.9,2021-12-01
2022M01,Bensiini 98,1.97,2022-01-01
2022M02,Bensiini 98,2.03,2022-02-01
2022M03,Bensiini 98,2.32,2022-03-01
2022M04,Bensiini 98,2.26,2022-04-01
2022M05,Bensiini 98,2.39,2022-05-01
2022M06,Bensiini 98,2.67,2022-06-01
2022M07,Bensiini 98,2.42,2022-07-01
2022M08,Bensiini 98,2.23,2022-08-01
2022M09,Bensiini 98,2.17,2022-09-01
2022M10,Bensiini 98,2.17,2022-10-01
2022M11,Bensiini 98,2.17,2022-11-01
2022M12,Bensiini 98,1.97,2022-12-01
2023M01,Bensiini 98,2.01,2023-01-01
2023M02,Bensiini 98,2.08,2023-02-01
2023M03,Bensiini 98,2.08,2023-03-01
2023M04,Bensiini 98,2.09,2023-04-01
2023M05,Bensiini 98,2.06,2023-05-01
2023M06,Bensiini 98,2.07,2023-06-01
2023M07,Bensiini 98,2.04,2023-07-01
2023M08,Bensiini 98,2.08,2023-08-01
2023M09,Bensiini 98,2.15,2023-09-01
2023M10,Bensiini 98,2.1,2023-10-01
2023M11,Bensiini 98,2.04,2023-11-01
2023M12,Bensiini 98,1.96,2023-12-01
2024M01,Bensiini 98,1.86,2024-01-01
2024M02,Bensiini 98,1.92,2024-02-01
2024M03,Bensiini 98,2.01,2024-03-01
2024M04,Bensiini 98,2.0,2024-04-01
2024M05,Bensiini 98,1.98,2024-05-01
2024M06,Bensiini 98,1.96,2024-06-01
2024M07,Bensiini 98,1.96,2024-07-01
2024M08,Bensiini 98,1.95,2024-08-01
2024M09,Bensiini 98,1.9,2024-09-01
2024M10,Bensiini 98,1.88,2024-10-01
2024M11,Bensiini 98,1.85,2024-11-01
2024M12,Bensiini 98,1.85,2024-12-01
2025M01,Bensiini 98,1.88,2025-01-01
2025M02,Bensiini 98,1.87,2025-02-01
2025M03,Bensiini 98,1.89,2025-03-01
2025M04,Bensiini 98,1.88,2025-04-01
2025M05,Bensiini 98,1.85,2025-05-01
2025M06,Bensiini 98,1.84,2025-06-01
2025M07,Bensiini 98,1.84,2025-07-01
2025M08,Bensiini 98,1.78,2025-08-01
2025M09,Bensiini 98,1.83,2025-09-01
2025M10,Bensiini 98,1.81,2025-10-01
2025M11,Bensiini 98,1.81,2025-11-01
2025M12,Bensiini 98,1.84,2025-12-01
2026M01,Bensiini 98,1.86,2026-01-01
2026M02,Bensiini 98,1.86,2026-02-01
2021M02,Diesel,1.44,2021-02-01
2021M03,Diesel,1.5,2021-03-01
2021M04,Diesel,1.5,2021-04-01
2021M05,Diesel,1.5,2021-05-01
2021M06,Diesel,1.49,2021-06-01
2021M07,Diesel,1.52,2021-07-01
2021M08,Diesel,1.53,2021-08-01
2021M09,Diesel,1.52,2021-09-01
2021M10,Diesel,1.63,2021-10-01
2021M11,Diesel,1.7,2021-11-01
2021M12,Diesel,1.67,2021-12-01
2022M01,Diesel,1.78,2022-01-01
2022M02,Diesel,1.87,2022-02-01
2022M03,Diesel,2.33,2022-03-01
2022M04,Diesel,2.22,2022-04-01
2022M05,Diesel,2.27,2022-05-01
2022M06,Diesel,2.44,2022-06-01
2022M07,Diesel,2.27,2022-07-01
2022M08,Diesel,2.09,2022-08-01
2022M09,Diesel,2.16,2022-09-01
2022M10,Diesel,2.17,2022-10-01
2022M11,Diesel,2.28,2022-11-01
2022M12,Diesel,1.98,2022-12-01
2023M01,Diesel,2.08,2023-01-01
2023M02,Diesel,2.07,2023-02-01
2023M03,Diesel,2.02,2023-03-01
2023M04,Diesel,1.96,2023-04-01
2023M05,Diesel,1.86,2023-05-01
2023M06,Diesel,1.85,2023-06-01
2023M07,Diesel,1.85,2023-07-01
2023M08,Diesel,1.94,2023-08-01
2023M09,Diesel,2.05,2023-09-01
2023M10,Diesel,2.06,2023-10-01
2023M11,Diesel,2.03,2023-11-01
2023M12,Diesel,1.97,2023-12-01
2024M01,Diesel,1.83,2024-01-01
2024M02,Diesel,1.91,2024-02-01
2024M03,Diesel,1.94,2024-03-01
2024M04,Diesel,1.87,2024-04-01
2024M05,Diesel,1.78,2024-05-01
2024M06,Diesel,1.75,2024-06-01
2024M07,Diesel,1.77,2024-07-01
2024M08,Diesel,1.75,2024-08-01
2024M09,Diesel,1.71,2024-09-01
2024M10,Diesel,1.7,2024-10-01
2024M11,Diesel,1.72,2024-11-01
2024M12,Diesel,1.77,2024-12-01
2025M01,Diesel,1.8,2025-01-01
2025M02,Diesel,1.79,2025-02-01
2025M03,Diesel,1.79,2025-03-01
2025M04,Diesel,1.72,2025-04-01
2025M05,Diesel,1.64,2025-05-01
2025M06,Diesel,1.63,2025-06-01
2025M07,Diesel,1.67,2025-07-01
2025M08,Diesel,1.61,2025-08-01
2025M09,Diesel,1.63,2025-09-01
2025M10,Diesel,1.61,2025-10-01
2025M11,Diesel,1.66,2025-11-01
2025M12,Diesel,1.74,2025-12-01
2026M01,Diesel,1.77,2026-01-01
2026M02,Diesel,1.8,2026-02-01
2021M02,Polttoöljy,0.92,2021-02-01
2021M03,Polttoöljy,0.96,2021-03-01
2021M04,Polttoöljy,0.93,2021-04-01
2021M05,Polttoöljy,0.97,2021-05-01
2021M06,Polttoöljy,0.99,2021-06-01
2021M07,Polttoöljy,1.01,2021-07-01
2021M08,Polttoöljy,1.01,2021-08-01
2021M09,Polttoöljy,1.03,2021-09-01
2021M10,Polttoöljy,1.14,2021-10-01
2021M11,Polttoöljy,1.15,2021-11-01
2021M12,Polttoöljy,1.11,2021-12-01
2022M01,Polttoöljy,1.18,2022-01-01
2022M02,Polttoöljy,1.29,2022-02-01
2022M03,Polttoöljy,2.06,2022-03-01
2022M04,Polttoöljy,1.59,2022-04-01
2022M05,Polttoöljy,1.74,2022-05-01
2022M06,Polttoöljy,1.95,2022-06-01
2022M07,Polttoöljy,1.78,2022-07-01
2022M08,Polttoöljy,1.62,2022-08-01
2022M09,Polttoöljy,1.73,2022-09-01
2022M10,Polttoöljy,1.93,2022-10-01
2022M11,Polttoöljy,1.8,2022-11-01
2022M12,Polttoöljy,1.44,2022-12-01
2023M01,Polttoöljy,1.55,2023-01-01
2023M02,Polttoöljy,1.45,2023-02-01
2023M03,Polttoöljy,1.45,2023-03-01
2023M04,Polttoöljy,1.4,2023-04-01
2023M05,Polttoöljy,1.28,2023-05-01
2023M06,Polttoöljy,1.33,2023-06-01
2023M07,Polttoöljy,1.35,2023-07-01
2023M08,Polttoöljy,1.51,2023-08-01
2023M09,Polttoöljy,1.59,2023-09-01
2023M10,Polttoöljy,1.54,2023-10-01
2023M11,Polttoöljy,1.48,2023-11-01
2023M12,Polttoöljy,1.41,2023-12-01
2024M01,Polttoöljy,1.37,2024-01-01
2024M02,Polttoöljy,1.49,2024-02-01
2024M03,Polttoöljy,1.44,2024-03-01
2024M04,Polttoöljy,1.47,2024-04-01
2024M05,Polttoöljy,1.37,2024-05-01
2024M06,Polttoöljy,1.33,2024-06-01
2024M07,Polttoöljy,1.4,2024-07-01
2024M08,Polttoöljy,1.32,2024-08-01
2024M09,Polttoöljy,1.27,2024-09-01
2024M10,Polttoöljy,1.32,2024-10-01
2024M11,Polttoöljy,1.32,2024-11-01
2024M12,Polttoöljy,1.29,2024-12-01
2025M01,Polttoöljy,1.33,2025-01-01
2025M02,Polttoöljy,1.32,2025-02-01
2025M03,Polttoöljy,1.26,2025-03-01
2025M04,Polttoöljy,1.18,2025-04-01
2025M05,Polttoöljy,1.15,2025-05-01
2025M06,Polttoöljy,1.17,2025-06-01
2025M07,Polttoöljy,1.28,2025-07-01
2025M08,Polttoöljy,1.22,2025-08-01
2025M09,Polttoöljy,1.23,2025-09-01
2025M10,Polttoöljy,1.2,2025-10-01
2025M11,Polttoöljy,1.3,2025-11-01
2025M12,Polttoöljy,1.22,2025-12-01
2026M01,Polttoöljy,1.21,2026-01-01
2026M02,Polttoöljy,1.27,2026-02-01
